Project Name,Change Frequency,Commit Count
sg-nm/Evolutionary-Autoencoders,12,1
facial-landmarks-localization-challenge/Look_At_Boundary_PyTorch,32,4
MaybeShewill-CV/CRNN_Tensorflow,379,35
caslabai/yolov3tiny_tensorflow_int8_quantized,3,1
TheMTank/cups-rl,299,55
kelayamatoz/BiDAF-PyTorch,219,26
psanch21/VAE-GMVAE,161,7
thtrieu/darkflow,185,41
Dimsmary/Ossas_ChatBot,9,1
deeplearningathome/rnn_text_writer,50,2
freddiev4/financial-ts-prediction-with-deeplearning,32,3
Johnnan002/Apollo--laneline-detection,10,1
faas-and-furious/inception-function,2,1
GoogleCloudPlatform/earth-ml,11,2
supercoderhawk/DeepNLP,634,27
mokemokechicken/keras_npi,271,24
johncf/text2phones,371,33
skyduy/CNN_keras,179,23
yijingru/ASSD-Pytorch,2,1
leaderj1001/Billion-scale-semi-supervised-learning,8,3
VinAIResearch/PCC-pytorch,832,53
human-analysis/neural-architecture-transfer,218,2
abhishekkrthakur/captcha-recognition-pytorch,1,1
Project-Splinter/MonoPort,79,10
songdejia/EAST,12,5
AaronCCWong/Show-Attend-and-Tell,159,42
LuEE-C/PPO-Keras,258,17
iwyoo/tf_ConvWTA,48,3
lkulowski/LSTM_encoder_decoder,14,2
PPPLDeepLearning/plasma-python,417,70
giddyyupp/ganilla,159,12
miaow1988/ShuffleNet_V2_pytorch_caffe,2,1
pyro-ppl/pyro,8292,991
MexsonFernandes/Img2VecCosSim-Django-Pytorch,4,1
twtygqyy/pytorch-edsr,6,1
zhangkaifang/CBAM-TensorFlow2.0,6,3
azraelzhor/tf-flowqa,501,6
mysunrise/RetinaNet,30,3
junhwanjang/face_landmark_dnn,1,1
alshedivat/meta-blocks,119,20
junqiangchen/Unet_3d,22,3
stevefielding/keras-anpr,5,1
khumbuai/ulmfit_keras,248,40
ThibaultGROUEIX/3D-CODED,286,24
GestureGeneration/Speech_driven_gesture_generation_with_autoencoder,26,4
liny23/tensorflow-TextMountain,49,2
yangwangx/gif2video_code,2,1
speedinghzl/Pytorch-Deeplab,28,7
AbrahamSanders/seq2seq-chatbot,35,1
inisis/brocolli,21,4
tkuanlun350/Tensorflow-SegNet,501,19
Octavian-ai/learning-rate-finder-tensorflow,24,6
MrKnyaz/Tensorflow-to-PB,1,1
stevezheng23/reading_comprehension_tf,2283,217
siyuanzhao/key-value-memory-networks,332,12
gujiuxiang/MIL.pytorch,3,1
hdjang/Feature-Selective-Anchor-Free-Module-for-Single-Shot-Object-Detection,38,3
pclucas14/pytorch-glow,189,16
loadder/netVLAD-pytorch,22,2
stephenjfox/Morph.py,27,9
HeatherJiaZG/SuperGlue-pytorch,1,1
howl-anderson/seq2annotation,509,75
csvance/blur-pool-keras,40,4
tugot17/YOLO-Object-Counting-API,185,41
jimfleming/recurrent-entity-networks,817,97
SSRSGJYD/NeuralTexture,152,17
windg/AttentionLSTM,252,6
Tandon-A/Image-Editing-using-GAN,6,4
apsdehal/Face-Recognition,22,3
bubbliiiing/efficientnet-yolo3-pytorch,25,7
visipedia/tf_classification,470,33
ftdlyc/KCNet_Pytorch,86,1
liuyukid/transformers-ner,5,2
mmalotin/pytorch-fast-neural-style-mobilenetV2,19,1
ViswanathaReddyGajjala/EfficientNet-RetinaNet,63,11
futurely/deep-camera-relocalization,123,5
kevinzakka/pytorch-goodies,35,4
Blssel/TSN-tensorflow,73,7
christopher-beckham/hologan-pytorch,75,2
Kyubyong/deepvoice3,560,14
PavlosMelissinos/enet-keras,231,32
caiya55/ganomaly-tensorflow,6,1
nianticlabs/footprints,7,1
l3lackcurtains/Optical-Character-Recognition-using-CNN-KNN-SVM-RF,5,5
zfw1226/active_tracking_rl,14,5
rythei/PyTorchOT,122,2
guillaume-chevalier/HAR-stacked-residual-bidir-LSTMs,123,17
mil-tokyo/dg_mmld,2,2
ahmetgunduz/pytorch-nlp-project-template,44,3
chsong513/DeepKnowledgeTracing-DKT-Pytorch,20,1
guanyingc/PS-FCN,2,2
MaybeShewill-CV/lanenet-lane-detection,663,35
intel-isl/Open3D-PointNet2-Semantic3D,474,46
PacktPublishing/Hands-On-Intelligent-Agents-with-OpenAI-Gym,417,63
siahuat0727/RePr,13,2
Shathe/MNasNet-Keras-Tensorflow,74,9
hysts/pytorch_shake_shake,25,3
clairett/pytorch-sentiment-classification,3,1
4uiiurz1/pytorch-res2net,25,2
WLM1ke/poptimizer,205,52
alleveenstra/attentionocr,525,56
LucaAngioloni/ProteinSecondaryStructure-CNN,148,21
drakelevy/ESPCN-TensorFlow,6,1
perslev/MultiPlanarUNet,157,27
davidsandberg/facenet,2400,225
scikit-hep/pyhf,331,51
ducha-aiki/LSUV-pytorch,10,4
dmbee/seglearn,25,12
vijendra1125/Custom-Mask-RCNN-Using-Tensorfow-Object-Detection-API,5,2
zemofreedom/PSMNet-Tensorflow,24,1
bsun0802/Zero-DCE,51,6
yjh0410/yolov2-yolov3_PyTorch,360,25
DrSleep/light-weight-refinenet,22,3
fastnlp/fastHan,76,11
calmisential/Basic_CNNs_TensorFlow2,197,38
masyagin1998/robin,196,21
otaheri/MANO,61,3
elvisyjlin/SpatialAttentionGAN,13,2
crmaximo/VAEGAN,3,1
CyberZHG/keras-multi-head,59,13
AnirudhGP/DrowsyDriverDetection,12,2
Jin-Linhao/Siamese_lfw_pytorch,139,20
vincenzosantopietro/LeNet-5-Tensorflow,57,3
1Konny/Beta-VAE,153,12
howl-anderson/tf_crf_layer,185,16
titu1994/keras-adabound,36,8
maudzung/CenterNet3D-PyTorch,9,3
korymath/jann,191,37
ZJULearning/ALDA,11,1
Gasoonjia/Tensorflow-type-padding-with-pytorch-conv2d.,2,1
TingAnChien/san-vqa-tensorflow,36,3
MrGiovanni/UNetPlusPlus,129,8
yiyang92/vae_for_text,14,3
fab-jul/imgcomp-cvpr,14,2
sanghoon/tf-exercise-gan,115,6
hirofumi0810/tensorflow_end2end_speech_recognition,3095,78
9310gaurav/virtual-adversarial-training,16,5
alleboudy/DLinCV,775,36
jeong-tae/RACNN-pytorch,162,15
sheffieldnlp/fever-naacl-2018,99,19
zhangxu0307/time-series-forecasting-keras,3,1
markus-eberts/spert,43,4
xiaochus/MobileNetV2,21,5
Stick-To/RefineDet-tensorflow,747,16
chingyaoc/VQG-tensorflow,1,1
monatis/emo-cv,1,1
feifeiwei/Pytorch-CornerNet,84,11
lightaime/deep_gcns_torch,261,42
zhangxiann/PyTorch_Practice,18,2
lopuhin/tf-rnn-char-autoencoder,79,19
DebeshJha/2020-CBMS-DoubleU-Net,20,1
GauravBh1010tt/DL-Seq2Seq,81,2
clovaai/stargan-v2,11,1
microsoft/transductive-vos.pytorch,4,1
zixuanweeei/atec-sim,97,1
LuJunru/Sentences_Pair_Similarity_Calculation_Siamese_LSTM,42,9
autonise/CRAFT-Remade,62,20
broadinstitute/keras-rcnn,5472,383
deep-fry/mayo,2176,434
tomassykora/deep_hash_search,40,9
dragen1860/MAML-Pytorch,160,10
koulanurag/visTorch,3,1
johndpope/CryptoCurrencyTrader,9,1
tonyduan/normalizing-flows,35,5
jingweiz/pytorch-rl,418,29
JunjH/Visualizing-CNNs-for-monocular-depth-estimation,39,4
tomlepaine/fast-wavenet,55,5
yeephycho/widerface-to-tfrecord,17,2
bme-chatbots/dialogue-generation,274,48
Fangyh09/pytorch-receptive-field,2,2
cameronfabbri/LSGANs-Tensorflow,45,3
MLforHealth/S2SD,4,1
alykhantejani/nninit,5,1
koriavinash1/DeepBrainSeg,107,12
lshiwjx/deform_conv3d_pytorch_op,93,11
marcbelmont/hierarchical-categories-loss-tensorflow,1,1
sentinel-hub/eo-flow,930,113
walsvid/Faster-RCNN-TensorFlow,160,11
ben-davidson-6/Gated-SCNN,1037,71
Shivanshu-Gupta/Pytorch-POS-Tagger,1,1
rampage644/super-resolution,55,12
foamliu/Image-Captioning-PyTorch,533,55
soochan-lee/MR-GAN,3,1
roomylee/rnn-text-classification-tf,7,2
locuslab/lcp-physics,1281,36
pyaf/DenseNet-MURA-PyTorch,49,6
onurctirtir/superresolution-gan,9,3
bhpfelix/MTLNAS,44,1
vita-epfl/collaborative-gan-sampling,19,2
MarwanDebbiche/post-tuto-deployment,27,10
EderSantana/seya,494,97
titu1994/Fast-Neural-Style,64,9
taki0112/SphereGAN-Tensorflow,19,1
leaderj1001/Attention-Augmented-Conv2d,110,13
thnkim/OpenFacePytorch,7,1
altosaar/sentence_word2vec,13,1
TreezzZ/DPSH_PyTorch,68,8
Tristan-Chow/Recommendation-System-based-on-TensorFlow,7,1
pl8787/MatchPyramid-TensorFlow,65,3
mmahesh/variants-of-rmsprop-and-adagrad,35,1
lonePatient/TorchBlocks,164,13
shenyunhang/DRN-WSOD-pytorch,317,82
lonnyzhang423/zhihu-captcha,22,4
zfgao66/deeplearning-mpo,105,13
anita-hu/TF2-RL,184,18
dalgu90/wrn-tensorflow,13,2
airlab-unibas/airlab,162,25
zsdonghao/text-to-image,392,29
atomistic-machine-learning/schnetpack,1327,188
fancompute/wavetorch,906,118
alanswx/keras_to_tensorflow,1,1
adambcomer/Tensorflow-Seq2Seq-Dialogs,10,4
vwxyzjn/cleanrl,2122,139
ternaus/TernausNet,42,9
yobibyte/pgn,571,79
ppriyank/Bert-Coref-Resolution-Lee-,755,48
joeylitalien/noise2noise-pytorch,160,24
gknilsen/pyhessian,67,4
meteorshowers/RCF-pytorch,120,27
CoinCheung/fixmatch-pytorch,74,17
suragnair/seqGAN,45,10
yujiakimoto/ptr-net,108,7
ace19-dev/tensorflow-speech-recognition-challenge,562,28
ghimiredhikura/Complex-YOLOv3,5,1
sadeepj/crfasrnn_keras,4,2
minimaxir/gpt-2-simple,83,24
mratsim/humpback-whale-identification,28,5
Moving-AI/virtual-walk,34,8
crs4/AtlantaNet,7,3
woshiyyya/DFGN-pytorch,1,1
shinochin/SiameseCBOW,1,1
batzner/indrnn,354,39
jwyang/fpn.pytorch,5,1
shirgur/PointerNet,9,5
sniklaus/sepconv-slomo,151,13
eesungkim/NMF-Tensorflow,22,1
stelzner/monet,91,8
SpatialPerceptionNeuralNetwork/SOA_DORN_TF,25,3
HugoCMU/pySACQ,257,29
nanguoshun/LSR,27,3
vijayvee/video-captioning,109,8
GaoQ1/rasa_nlu_gq,12,3
cdancette/rubi.bootstrap.pytorch,2,1
SuyashLakhotia/TextCategorization,234,24
gtoubassi/dqn-atari,333,22
livey/scalable_maddpg,178,9
migege/tf-CNN-CASIA-HWDB,77,11
SaoYan/GenerativeSkinLesion,545,61
carpedm20/neural-summary-tensorflow,5,1
minimaxir/tensorflow-multiprocess-ray,18,3
tomaszkacmajor/CarND-Traffic-Sign-Classifier-P2,65,6
Smerity/tf-ham,51,5
JonathanRaiman/tensorflow-infogan,303,29
harvitronix/continuous-online-video-classification-blog,26,8
tilarids/reinforcement_learning_playground,65,7
ghosthamlet/gpt2-ml-torch,11,3
westerndigitalcorporation/YOLOv3-in-PyTorch,93,7
vinzeebreak/ironcar,7,5
AllanYiin/YoloV4,8,2
ShangtongZhang/DistributedES,24,5
fdalvi/cat-detector,205,5
henryre/shalo,107,10
Zhenye-Na/DA-RNN,164,10
HealthCatalyst/healthcareai-py,26,6
liorshk/facenet_pytorch,73,2
multimodallearning/pytorch-mask-rcnn,1,1
desh2608/crnn-relation-classification,18,1
LeeDoYup/FixMatch-pytorch,2,1
georgesung/ssd_tensorflow_traffic_sign_detection,1,1
ceteke/pointnet,169,11
xcmyz/Tacotron2-Pytorch,35,2
owruby/shake-shake_pytorch,28,5
ermongroup/ncsnv2,1,1
huanghao-code/VisCNN_ICLR_2014_Saliency,9,2
abars/3d-pose-baseline-keras,35,1
fartashf/vsepp,27,6
zhoudaxia233/EfficientUnet,16,5
HazyResearch/fonduer,206,13
Kyziridis/BipedalWalker-v2,76,5
eveningdong/DenseNet-Tensorflow,4,1
jiweibo/ImageNet,18,6
mrluin/ESFNet-Pytorch,162,15
TheShadow29/infnet-spen,399,32
akamaster/pytorch_resnet_cifar10,11,2
shagunsodhani/Image-Caption-Generator,31,8
baaesh/DeConv-VAE-pytorch,23,1
yqyao/SSD_Pytorch,231,11
raven-dehaze-work/MSCNN_Keras,103,9
mlech26l/keras-ncp,3,3
ascourge21/Siamese,304,10
marcoancona/DASP,24,3
otenim/Numpy-ELM,5,1
myme5261314/dbn_tf,37,2
SUDA-LA/ucca-parser,295,16
josedolz/IVD-Net,3,1
xiadingZ/video-caption-openNMT.pytorch,64,3
dannysdeng/dqn-pytorch,165,12
kaniblu/pytorch-bilstmcrf,98,6
EN10/KerasInception,2,1
eborboihuc/Deep360Pilot-CVPR17,385,8
twairball/keras_lstm_vae,2,1
jiacheng-ye/code-for-nlp-beginner,180,17
svenrdz/DFC-VAE,119,4
crazydonkey200/tensorflow-char-rnn,171,12
Rowing0914/TF_RL,2018,93
arunponnusamy/gender-detection-keras,10,5
easezyc/deep-transfer-learning,21,3
locuslab/optnet,139,11
Hyeokreal/ali_bigan_mnist_pytorch,120,20
aianaconda/TensorFlow_Engineering_Implementation,5,2
SsisyphusTao/SSD-Knowledge-Distillation,533,47
AppleHolic/PytorchSR,102,10
PratikBarhate/question-classification,35,4
nilinswap/neuro-evolution,134,16
shuishen112/tensorflow-deep-qa,388,17
v0lta/Complex-gated-recurrent-neural-networks,1382,57
hobincar/RecNet,24,7
yoyololicon/constant-memory-waveglow,8,4
batra-mlp-lab/visdial-challenge-starter-pytorch,379,57
elitcloud/elit,23,4
anguelos/tormentor,505,25
pixelite1201/pytorch_coma,7,2
TwistedW/pytorch-GANs,12,2
edwardning/PyTorch-YOLOv3-ModelArts,21,4
aparwal/DeepSeparation,2,1
danielvarga/keras-deep-dream,8,1
soobinseo/ARAE,4,1
AnnaAraslanova/FBNet,1,1
JuanFMontesinos/torch_mir_eval,107,6
guangxush/CAIL-CCL-2019,2,1
zingp/pointer-generator-pytorch,85,18
loginaway/Metapath2vec,13,3
StillKeepTry/Transformer-PyTorch,83,4
nuric/deeplogic,177,35
psavine42/fun-with-dnc,192,11
kendricktan/drawlikebobross,62,5
roytseng-tw/adversarial-pose-pytorch,75,11
TheDuck314/go-NN,403,19
hrpan/tetris_mcts,536,51
liuyijiang1994/sohu_baseline,32,5
adrz/movie-posters-convnet,9,4
yongqyu/MolGAN-pytorch,135,6
HongleiXie/DropoutNet,20,3
alokwhitewolf/Pytorch-Attention-Guided-CycleGAN,42,7
junteudjio/dicom_data_pipeline,5,3
iitmcvg/OCR-Handwritten-Text,114,8
ray0809/weakly-supervised-object-localization,11,1
yangheng95/LC-ABSA,93,5
endo-yuki-t/Animating-Landscape,18,1
zphang/bert_on_stilts,1092,118
inikdom/rnn-speech,967,79
r05323028/TNet-tensorflow,6,2
aRI0U/RandLA-Net-pytorch,376,31
dansuh17/segan-pytorch,374,20
ethanwharris/STAWM,151,11
tkwoo/visualization-segmentation-process,12,4
sagar448/Keras-Recurrent-Neural-Network-Python,1,1
tobegit3hub/deep_image_model,127,8
molecularsets/moses,520,40
merantix/imitation-learning,14,2
yfletberliac/mango,785,40
EpiSci/SafeAI,409,41
ThibaultGROUEIX/AtlasNet,568,24
thu-coai/seq2seq-pytorch-bert,24,1
ShivneshKumar/Tensorflow_NRE,4,1
xbliuHNU/DogsVsCats,13,1
qjzhzw/Open_QG,178,28
uber-research/UPSNet,8,4
ForeverZyh/TensorFlow-Program-Bugs,656,10
Nikronic/CoarseNet,207,45
taki0112/GAN-Tensorflow,37,3
czq142857/IM-NET-pytorch,4,1
anassinator/gp,1,1
Shirhe-Lyh/deep_image_matting_pytorch,25,2
anish9/GCPAnet-tensorflow2.2,7,2
zoujun123/Keras-CDL,40,4
liznerski/fcdd,494,7
TimoBolkart/voca,5,1
weihua916/powerful-gnns,3,1
braindeadpool/bf-vos,109,17
modricwang/Pytorch-Model-to-TensorRT,36,3
mohabmes/StockNN,8,1
Priberam/SentimentAnalysis,28,4
mrahtz/tensorflow-rl-pong,189,39
LaurentMazare/deep-models,74,8
NVlabs/selfsupervised-denoising,2,1
miroozyx/BERT_with_keras,16,4
AirBernard/Scene-Text-Detection-with-SPCNET,294,1
DongjunLee/quantified-self,7,1
notAI-tech/deepsegment,12,6
dylandjian/retro-contest-sonic,275,20
Li-Ming-Fan/text_classification,1243,38
kekmodel/FixMatch-pytorch,411,66
kazuto1011/deeplab-pytorch,401,38
rodrigobressan/face2data,2,1
deontaepharr/Retinal-Disease-Diagnosis-With-Residual-Attention-Networks,22,3
cheind/tf-matplotlib,44,8
Erfaniaa/persian-digits-recognition,3,1
Shivanshu-Gupta/Visual-Question-Answering,167,20
catnlp/metaLSTM,391,14
kasparmartens/BasisVAE,16,1
S-aiueo32/sr-pytorch-lightning,72,4
BinWang-shu/pytorch_hed,6,2
TheAbhiKumar/tensorflow-value-iteration-networks,108,4
MarvinTeichmann/KittiSeg,259,28
nikitaa30/Manga-GAN,1,1
lucidrains/memformer,1,1
Tramac/awesome-semantic-segmentation-pytorch,311,43
MarvinTeichmann/MultiNet,104,15
YirongMao/softmax_variants,15,1
wizdom13/RND-Pytorch,21,2
zhaohui-yang/XNORnet-PyTorch,58,7
shaoshengsong/TensorFlow_Flask,12,1
blakeblackshear/frigate,4,1
PiSimo/BitcoinForecast,41,8
sseung0703/SSKD_SVD,35,7
nl8590687/ASRT_SpeechRecognition,492,44
pietrocarbo/deep-transfer,379,11
amanbasu/3d-prostate-segmentation,2,1
skmhrk1209/GANSynth,3330,427
JGuymont/vae-anomaly-detector,82,9
yistLin/pytorch-dual-learning,116,10
kareido/pytorl,153,24
Wizaron/instance-segmentation-pytorch,25,6
renjunxiang/Text-Classification,5,1
tsing90/pytorch_semantic_human_matting,9,1
harritaylor/torchvggish,206,17
asmith26/wide_resnets_keras,27,3
IBM/MAX-Audio-Classifier,1,1
zonetrooper32/VDCNN,419,13
fourson/DeblurGAN-pytorch,28,9
eriklindernoren/PyTorch-Deep-Dream,25,3
photosynthesis-team/piq,348,34
generall/OneShotNLP,199,39
Anfany/Machine-Learning-for-Beginner-by-Python3,72,5
jasonwu0731/GLMP,6,1
KangBK0120/CAM,68,2
hugoycj/Incremental-Learning-with-Weight-Aligning,8,3
lucidrains/reformer-pytorch,51,14
anxingle/plate_recognition,32,2
lucifer443/EfficientDet-Pytorch,5,2
aimetrics/jarvis,1,1
luyishisi/tensorflow,1,1
shashankg7/Keras-CNN-QA,10,1
Attila94/refinenet-keras,70,4
GIMPS/gan_lf_syn,58,2
shaohua0116/Multiview2Novelview,10,2
toshas/torch-fidelity,264,30
taki0112/DiscoGAN-Tensorflow,57,2
jhjacobsen/pytorch-i-revnet,8,2
NathanDuran/Probabilistic-RNN-DA-Classifier,20,3
TensorMSA/tensormsa_old,53,15
kefirski/attentive-translation,79,15
timniven/cstlstm,59,10
sciforce/phones-las,1150,75
crownpku/Information-Extraction-Chinese,41,5
uwsampl/dtr-prototype,8,1
dingkeyan93/DISTS,3,1
lpq29743/IAN,235,9
cnguyen10/few_shot_meta_learning,558,7
zhang-can/ECO-pytorch,51,8
jason718/game-feature-learning,648,4
d2l-ai/d2l-zh,213,5
wenwei202/terngrad,647,66
geifmany/cifar-vgg,2,1
LynnHo/DCGAN-LSGAN-WGAN-GP-DRAGAN-Tensorflow-2,45,7
yizt/keras-faster-rcnn,1511,108
www0wwwjs1/Matrix-Capsules-EM-Tensorflow,679,58
watsonyanghx/GAN_Lib_Tensorflow,191,16
Pelhans/ZASR_tensorflow,134,11
CPUFronz/SC2_HarvesterAgent,103,7
davide-belli/graphsage-diffpool-classifier,36,7
Nicholasli1995/VisualizingNDF,34,5
kn45/ltr-dnn,135,15
jarfo/kchar,38,4
PacktPublishing/Deep-Learning-with-TensorFlow,156,3
iduta/pyconvsegnet,3,2
zqhZY/textclasser,40,4
HandsomeBrotherShuaiLi/3DUnet,28,4
rwightman/tensorflow-litterbox,1665,56
ZFTurbo/Keras-Mask-RCNN-for-Open-Images-2019-Instance-Segmentation,2,1
XuyangBai/D3Feat,117,6
fengjiqiang/LSTM-Wind-Speed-Forecasting,9,1
ankurhanda/tf-unet,314,66
zheng-yuwei/multi-label-classification,122,3
pbridger/pytorch-video-pipeline,59,8
4uiiurz1/pytorch-deform-conv-v2,43,6
lvapeab/interactive-keras-captioning,44,11
vidit98/graphconv,122,5
Dawars/auto_deeplab-pytorch,100,7
mgoubran/MeuralPaint,4,3
signatrix/regnet,27,7
Adapter-Hub/adapter-transformers,13350,1096
amalF/RCNN,1,1
dr-darryl-wright/Noisy-Labels-with-Bootstrapping,68,18
jorahn/keras-wide-n-deep,9,1
kainoj/colnet,75,22
fregu856/2D_detection,111,11
nicolov/segmentation_keras,6,2
yaoyao-liu/meta-transfer-learning,51,9
Nandan91/ULSAM,3,2
yonkshi/text2imageNet,1071,84
TianzhongSong/C3D-keras,2,1
statech/resnet,14,1
zllrunning/SiameseX.PyTorch,86,8
AlbertSuarez/object-cut,40,4
chenxi116/TF-deeplab,104,5
shekkizh/TensorflowProjects,656,70
vshulyak/torch-es,32,8
DavideA/dilation-keras,7,2
andrejonasson/dynamic-coattention-network-plus,793,71
bcol23/HyperIM,31,1
apachecn/AiLearning,22,4
Eric-mingjie/rethinking-network-pruning,23,2
bradhackinen/nama,37,6
linan2/TensorFlow-speech-enhancement-Chinese,23,1
kentaroy47/Deep-Compression.Pytorch,51,4
huangzh13/StyleGAN.pytorch,148,19
renqianluo/NAO_pytorch,1550,136
www0wwwjs1/tensorflow-siamese-fc,363,36
LeviBorodenko/garnn,32,4
tyler-hayes/Deep_SLDA,12,2
bxshi/dynamic_sampled_softmax_loss,144,4
richardwth/MMD-GAN,188,4
noahcao/Pixel2Mesh,743,32
jungtaekkim/bayeso,6,1
ThanhChinhBK/RBM_CF,46,3
sseung0703/ADNet-tensorflow,72,2
aripakman/neural_clustering_process,23,3
lexuanhieu131297/torchbox,191,14
XuyangBai/FoldingNet,2,1
siddsax/XML-CNN,3,2
lelouedec/3DNetworksPytorch,131,3
malllabiisc/ConfGCN,4,1
zhaoyu611/Automatic_Speech_Recognition_with_Multi_Models,105,6
OverLordGoldDragon/see-rnn,14,3
yuhsinliu1993/Quora_QuestionPairs_DL,124,12
bubbliiiing/yolov4-keras,19,4
ColasGael/Automatic-Video-Colorization,16,5
bgshih/tf_resnet_cifar,330,24
bluestyle97/STGAN-pytorch,115,2
buffer51/lstm-rcnn-pedestrian-detection,697,32
kuc2477/pytorch-deep-generative-replay,76,10
sagar448/Keras-Convolutional-Neural-Network-Python,2,2
Lornatang/pytorch-alexnet-cifar100,41,10
tjvandal/srcnn-tensorflow,166,8
jaywonchung/BERT4Rec-VAE-Pytorch,13,1
SaltieRL/Saltie,3046,265
damitkwr/ESRNN-GPU,215,31
mingdachen/gated-attention-reader,489,11
rickbarraza/tensorflow-cyclegan,749,35
vincentfpgarcia/from-pytorch-to-coreml,47,2
SSS135/aiqn-vae,19,2
lmelvix/visual-question-answering-tensorflow,90,2
Cadene/recipe1m.bootstrap.pytorch,113,13
CharlesPikachu/YOLO,336,8
HongguangZhang/SalNet-cvpr19-master,4,2
fepegar/highresnet,28,10
wushilian/STN_CNN_LSTM_CTC_TensorFlow,95,7
Fematich/mlengine-boilerplate,51,10
dpressel/mead-baseline,5169,395
policeme/transformer-pointer-generator,33,4
nicklashansen/neural-net-optimization,91,22
leido/char-rnn-cn,31,6
cybertronai/pytorch-lamb,3,2
zhijing-jin/pytorch_RelationExtraction_AttentionBiLSTM,77,5
PatWie/tensorflow-recipes,514,17
Yeachan-Heo/Tensorflow-ChatBots,24,4
YijianZhou/CDRP_TF,22,5
hualin95/Deeplab-v3plus,241,12
jireh-father/tensorflow-cnn-visualization,24,5
zhanghanduo/yolo3_pytorch,82,4
TranSirius/GCN-pytorch,12,2
nanoporetech/taiyaki,334,81
kjaisingh/march-madness-2019,12,4
NetoPedro/Universal-Adversarial-Perturbations-Pytorch,73,4
kilsenp/triplet-reid-pytorch,408,53
xuannianz/FSAF,88,3
stevenpjg/ddpg-aigym,37,7
yijie0710/GeoNet_pytorch,406,20
davidstutz/tensorflow-cpp-op-example,1,1
YongfeiYan/Neural-Document-Modeling,23,1
kentsommer/tensorflow-posenet,27,1
zhaoyuzhi/Deep-Convolutional-Network-Cascade-for-Facial-Point-Detection,2,1
MarvinTeichmann/KittiClass,77,8
moskomule/pytorch.rl.learning,5,1
rishizek/tensorflow-deeplab-v3,225,26
farbodtm/reptile-pytorch,24,3
ne7ermore/torch-light,386,37
sigsep/open-unmix-pytorch,890,169
yzhangcs/crfpar,11,3
wonbeomjang/ESRGAN-pytorch,288,26
rdenadai/snakeplissken,252,24
funkey/conv4d,11,2
liusongxiang/StarGAN-Voice-Conversion,4,1
bentoml/BentoML,39,15
donghyeonk/fastText1607,152,22
AndreaCossu/Relation-Network-PyTorch,276,65
nearthlab/image-segmentation,54,7
ldulcic/chatbot,147,32
kamalkraj/BERT-NER-TF,51,9
ndrplz/ConvLSTM_pytorch,6,1
krasserm/fairseq-image-captioning,60,5
e2crawfo/silot,499,39
ahmedbesbes/character-based-cnn,130,42
Hyperparticle/LemmaTag,129,5
dhaalves/CEAL_keras,4,1
haoxiangsnr/A-Convolutional-Recurrent-Neural-Network-for-Real-Time-Speech-Enhancement,53,3
dimkastan/PyTorch-Spectral-clustering,67,6
danielegrattarola/deep-q-atari,8,1
VinayTeki/Semantic_Segmentation,63,2
LunaBlack/RNN-Classification,95,2
jingweiz/pytorch-distributed,309,38
VahidooX/DeepCCA,3,2
btaille/semantic-question-matching,10,1
danielgordon10/re3-tensorflow,33,8
LLouice/Sohu2019,165,19
yuleiniu/vc,12,2
CalciferZh/SMPL,201,12
rtlee9/serveit,6,3
FurkanOM/tf-faster-rcnn,786,40
aboerzel/German_License_Plate_Recognition,806,4
SakhriHoussem/Image-Classification,72,4
ismorphism/DeepECG,86,9
AyanKumarBhunia/Deep-One-Shot-Logo-Retrieval,1,1
cavalleria/cavaface.pytorch,769,44
JunweiLiang/Object_Detection_Tracking,314,13
594422814/UDT_pytorch,20,1
Ragabov/tensorflow-nalu,18,4
mveres01/pytorch-drl4vrp,840,19
markdtw/condensenet-tensorflow,48,4
ykamikawa/tf-keras-yolov2-tracking,114,6
RomanovMikeV/setka,324,68
albanie/pytorch-mcn,62,14
Theo-/sentiment-analysis-keras-conv,4,1
rwightman/gen-efficientnet-pytorch,96,19
wannabeOG/ExpertNet-Pytorch,95,16
pcgreat/SeqMatchSeq,5,2
bluedisk/korean_char_rnn,19,1
burnpiro/tiny-face-detection-tensorflow2,27,6
vt-vl-lab/flownet2.pytorch,1,1
mengrang/Slimming-pytorch,28,5
ming71/mmdetection-annotated,46,1
One-sixth/ms_ssim_pytorch,5,2
barronalex/Tacotron,380,37
kefirski/hybrid_rvae,30,5
MattKleinsmith/pbt,52,6
bjoernkarmann/project_alias,5,2
Determined22/zh-NER-TF,2,1
Kyushik/DRL,1000,25
jcborges/DeepStack,12,5
tetrahydrofuran/presidential-rnn,43,5
aneesh-joshi/LSTM_POS_Tagger,17,4
naivete5656/WSISPDR,145,34
ku2482/sac-discrete.pytorch,179,16
ldeecke/gmm-torch,70,8
renmengye/tensorflow-forward-ad,46,9
QianJingjingZJU/vehicleReID-pytorch,66,4
lucidrains/byol-pytorch,22,7
bill9800/Speech-denoise-Autoencoder,33,4
weilheim/EEG,6,1
liangstein/ChatBot-PyTorch,2,1
facebookresearch/swav,25,4
JianzhouZhan/Awesome-RecSystem-Models,267,21
linjieli222/VQA_ReGAT,22,2
richzhang/PerceptualSimilarity,252,25
ppliuboy/DDFlow,6,2
sampepose/flownet2-tf,140,24
ruiminshen/openpose-pytorch,30,1
santi-pdp/segan_pytorch,2337,100
SeanLee97/nnclf,41,3
v-shmyhlo/retinanet-tensorflow,2373,380
